"";"parsed";"iucn_itis"
"509";"Pseudochirops archeri";"Pseudochirops archeri"
"510";"Pseudochirops cupreus";"Pseudochirops cupreus"
"511";"Pseudochirops coronatus";"Pseudochirops coronatus"
"512";"Pseudocheirus peregrinus";"Pseudocheirus peregrinus"
"513";"Pseudocheirus occidentalis";"Pseudocheirus occidentalis"
"514";"Cercartetus concinnus";"Cercartetus concinnus"
"515";"Cercartetus caudatus";"Cercartetus caudatus"
"516";"Cercartetus lepidus";"Cercartetus lepidus"
"517";"Cercartetus nanus";"Cercartetus nanus"
"518";"Hypsiprymnodon moschatus";"Hypsiprymnodon moschatus"
"519";"Acrobates pygmaeus";"Acrobates pygmaeus"
"520";"Distoechurus pennatus";"Distoechurus pennatus"
"521";"Ornithorhynchus anatinus";"Ornithorhynchus anatinus"
"522";"Zaglossus bruijnii";"Zaglossus bruijnii"
"523";"Zaglossus attenboroughi";"Zaglossus attenboroughi"
"524";"Zaglossus bartoni";"Zaglossus bartoni"
"525";"Tachyglossus aculeatus";"Tachyglossus aculeatus"
"526";"Notoryctes caurinus";"Notoryctes caurinus"
"527";"Notoryctes typhlops";"Notoryctes typhlops"
"528";"Chaeropus ecaudatus";"Chaeropus ecaudatus"
"529";"Peroryctes broadbenti";"Peroryctes broadbenti"
"530";"Peroryctes raffrayana";"Peroryctes raffrayana"
"531";"Microperoryctes papuensis";"Microperoryctes papuensis"
"532";"Microperoryctes murina";"Microperoryctes murina"
"533";"Microperoryctes longicauda";"Microperoryctes longicauda"
"534";"Microperoryctes aplini";"Microperoryctes aplini"
"535";"Perameles bougainville";"Perameles bougainville"
"536";"Perameles eremiana";"Perameles eremiana"
"537";"Perameles gunnii";"Perameles gunnii"
"538";"Isoodon macrourus";"Isoodon macrourus"
"539";"Echymipera rufescens";"Echymipera rufescens"
"540";"Echymipera davidi";"Echymipera davidi"
"541";"Echymipera kalubu";"Echymipera kalubu"
"542";"Echymipera clara";"Echymipera clara"
"543";"Echymipera echinista";"Echymipera echinista"
"544";"Rhynchomeles prattorum";"Rhynchomeles prattorum"
"545";"Macrotis lagotis";"Macrotis lagotis"
"546";"Macrotis leucura";"Macrotis leucura"
"547";"Kerivoula argentata";"Kerivoula argentata"
"548";"Phoniscus atrox";"Phoniscus atrox"
"549";"Rhinolophus euryale";"Rhinolophus euryale"
"550";"Furipterus horrens";"Furipterus horrens"
"551";"Platyrrhinus recifinus";"Platyrrhinus recifinus"
"552";"Kerivoula cuprosa";"Kerivoula cuprosa"
"553";"Platyrrhinus infuscus";"Platyrrhinus infuscus"
"554";"Kerivoula eriophora";"Kerivoula eriophora"
"555";"Rhinolophus blasii";"Rhinolophus blasii"
"556";"Platyrrhinus vittatus";"Platyrrhinus vittatus"
"557";"Dermanura rosenbergi";"Dermanura rosenbergi"
"558";"Kerivoula flora";"Kerivoula flora"
"559";"Rhinolophus hipposideros";"Rhinolophus hipposideros"
"560";"Rhinolophus ferrumequinum";"Rhinolophus ferrumequinum"
"561";"Kerivoula hardwickii";"Kerivoula hardwickii"
"562";"Platyrrhinus umbratus";"Platyrrhinus umbratus"
"563";"Kerivoula intermedia";"Kerivoula intermedia"
"564";"Rhinolophus acuminatus";"Rhinolophus acuminatus"
"565";"Rhinolophus mehelyi";"Rhinolophus mehelyi"
"566";"Phoniscus jagorii";"Phoniscus jagorii"
"567";"Histiotus laephotis";"Histiotus laephotis"
"568";"Pteropus aruensis";"Pteropus aruensis"
"569";"Tomopeas ravus";"Tomopeas ravus"
"570";"Kerivoula africana";"Kerivoula africana"
"571";"Tonatia bidens";"Tonatia bidens"
"572";"Asellia tridens";"Asellia tridens"
"573";"Asellia patrizii";"Asellia patrizii"
"574";"Aselliscus tricuspidatus";"Aselliscus tricuspidatus"
"575";"Rhinolophus robinsoni";"Rhinolophus robinsoni"
"576";"Myotis nipalensis";"Myotis nipalensis"
"577";"Corynorhinus townsendii";"Corynorhinus townsendii"
"578";"Corynorhinus mexicanus";"Corynorhinus mexicanus"
"579";"Corynorhinus rafinesquii";"Corynorhinus rafinesquii"
"580";"Melonycteris melanops";"Melonycteris melanops"
"581";"Rhinolophus luctus";"Rhinolophus luctus"
"582";"Melonycteris woodfordi";"Melonycteris woodfordi"
"583";"Rhinolophus lepidus";"Rhinolophus lepidus"
"584";"Aethalops aequalis";"Aethalops aequalis"
"585";"Rhinolophus landeri";"Rhinolophus landeri"
"586";"Rhinolophus inops";"Rhinolophus inops"
"587";"Plecotus taivanus";"Plecotus taivanus"
"588";"Rhinolophus marshalli";"Rhinolophus marshalli"
"589";"Rhinolophus malayanus";"Rhinolophus malayanus"
"590";"Rhinolophus macrotis";"Rhinolophus macrotis"
"591";"Melonycteris fardoulisi";"Melonycteris fardoulisi"
"592";"Rhinolophus maclaudi";"Rhinolophus maclaudi"
"593";"Desmodus rotundus";"Desmodus rotundus"
"594";"Rhinolophus eloquens";"Rhinolophus eloquens"
"595";"Rhinolophus denti";"Rhinolophus denti"
"596";"Rhinolophus deckenii";"Rhinolophus deckenii"
"597";"Styloctenium mindorensis";"Styloctenium mindorensis"
"598";"Pteropus ualanus";"Pteropus ualanus"
"599";"Rhinolophus hildebrandtii";"Rhinolophus hildebrandtii"
"600";"Rhinolophus guineensis";"Rhinolophus guineensis"
"601";"Rhinolophus fumigatus";"Rhinolophus fumigatus"
"602";"Pteropus keyensis";"Pteropus keyensis"
"603";"Rhinolophus clivosus";"Rhinolophus clivosus"
"604";"Rhinolophus coelophyllus";"Rhinolophus coelophyllus"
"605";"Rhinolophus capensis";"Rhinolophus capensis"
"606";"Rhinolophus celebensis";"Rhinolophus celebensis"
"607";"Plerotes anchietae";"Plerotes anchietae"
"608";"Chaerephon tomensis";"Chaerephon tomensis"
"609";"Eptesicus chiriquinus";"Eptesicus chiriquinus"
"610";"Rhinolophus creaghi";"Rhinolophus creaghi"
"611";"Rhinolophus darlingi";"Rhinolophus darlingi"
"612";"Rhinolophus cognatus";"Rhinolophus cognatus"
"613";"Rhinolophus alcyone";"Rhinolophus alcyone"
"614";"Notopteris neocaledonica";"Notopteris neocaledonica"
"615";"Rhinolophus adami";"Rhinolophus adami"
"616";"Rhinolophus affinis";"Rhinolophus affinis"
"617";"Rhinolophus borneensis";"Rhinolophus borneensis"
"618";"Diaemus youngi";"Diaemus youngi"
"619";"Rhinolophus canuti";"Rhinolophus canuti"
"620";"Rhinolophus arcuatus";"Rhinolophus arcuatus"
"621";"Rhinolophus bocharicus";"Rhinolophus bocharicus"
"622";"Nyctimene keasti";"Nyctimene keasti"
"623";"Harpiola isodon";"Harpiola isodon"
"624";"Natalus espiritosantensis";"Natalus espiritosantensis"
"625";"Eumops floridanus";"Eumops floridanus"
"626";"Chalinolobus picatus";"Chalinolobus picatus"
"627";"Chalinolobus nigrogriseus";"Chalinolobus nigrogriseus"
"628";"Kerivoula lenis";"Kerivoula lenis"
"629";"Myotis laniger";"Myotis laniger"
"630";"Chalinolobus neocaledonicus";"Chalinolobus neocaledonicus"
"631";"Saccopteryx antioquensis";"Saccopteryx antioquensis"
"632";"Chalinolobus tuberculatus";"Chalinolobus tuberculatus"
"633";"Micronycteris microtis";"Micronycteris microtis"
"634";"Cynopterus minutus";"Cynopterus minutus"
"635";"Thyroptera lavali";"Thyroptera lavali"
"636";"Thyroptera discifera";"Thyroptera discifera"
"637";"Hipposideros rotalis";"Hipposideros rotalis"
"638";"Hipposideros grandis";"Hipposideros grandis"
"639";"Myzopoda schliemanni";"Myzopoda schliemanni"
"640";"Chalinolobus dwyeri";"Chalinolobus dwyeri"
"641";"Diclidurus isabella";"Diclidurus isabella"
"642";"Diclidurus scutatus";"Diclidurus scutatus"
"643";"Diclidurus albus";"Diclidurus albus"
"644";"Diclidurus ingens";"Diclidurus ingens"
"645";"Platyrrhinus brachycephalus";"Platyrrhinus brachycephalus"
"646";"Platyrrhinus lineatus";"Platyrrhinus lineatus"
"647";"Rhinolophus shortridgei";"Rhinolophus shortridgei"
"648";"Lasiurus minor";"Lasiurus minor"
"649";"Mesophylla macconnelli";"Mesophylla macconnelli"
"650";"Pteronotus paraguanensis";"Pteronotus paraguanensis"
"651";"Cynomops mexicanus";"Cynomops mexicanus"
"652";"Acerodon leucotis";"Acerodon leucotis"
"653";"Acerodon jubatus";"Acerodon jubatus"
"654";"Acerodon celebensis";"Acerodon celebensis"
"655";"Platalina genovensium";"Platalina genovensium"
"656";"Leptonycteris yerbabuenae";"Leptonycteris yerbabuenae"
"657";"Acerodon mackloti";"Acerodon mackloti"
"658";"Vampyressa thyone";"Vampyressa thyone"
"659";"Thoopterus nigrescens";"Thoopterus nigrescens"
"660";"Baeodon alleni";"Baeodon alleni"
"661";"Rhogeessa genowaysi";"Rhogeessa genowaysi"
"662";"Pipistrellus raceyi";"Pipistrellus raceyi"
"663";"Rhinolophus formosae";"Rhinolophus formosae"
"664";"Idionycteris phyllotis";"Idionycteris phyllotis"
"665";"Rhinolophus siamensis";"Rhinolophus siamensis"
"666";"Pipistrellus pygmaeus";"Pipistrellus pygmaeus"
"667";"Myotis occultus";"Myotis occultus"
"668";"Rhinolophus thomasi";"Rhinolophus thomasi"
"669";"Rhinolophus trifoliatus";"Rhinolophus trifoliatus"
"670";"Mimon cozumelae";"Mimon cozumelae"
"671";"Rhinolophus virgo";"Rhinolophus virgo"
"672";"Otomops madagascariensis";"Otomops madagascariensis"
"673";"Rhinolophus yunanensis";"Rhinolophus yunanensis"
"674";"Hipposideros boeadii";"Hipposideros boeadii"
"675";"Rhinolophus stheno";"Rhinolophus stheno"
"676";"Rhinolophus subbadius";"Rhinolophus subbadius"
"677";"Rhinolophus subrufus";"Rhinolophus subrufus"
"678";"Rhinolophus swinnyi";"Rhinolophus swinnyi"
"679";"Ariteus flavescens";"Ariteus flavescens"
"680";"Kerivoula krauensis";"Kerivoula krauensis"
"681";"Dobsonia crenulata";"Dobsonia crenulata"
"682";"Rhinolophus keyensis";"Rhinolophus keyensis"
"683";"Rhinolophus osgoodi";"Rhinolophus osgoodi"
"684";"Rhinolophus philippinensis";"Rhinolophus philippinensis"
"685";"Natalus major";"Natalus major"
"686";"Rhinolophus pearsonii";"Rhinolophus pearsonii"
"687";"Rhinolophus mitratus";"Rhinolophus mitratus"
"688";"Ia io";"Ia io"
"689";"Rhinolophus nereis";"Rhinolophus nereis"
"690";"Rhinolophus shameli";"Rhinolophus shameli"
"691";"Myotis aurascens";"Myotis aurascens"
"692";"Rhinolophus sedulus";"Rhinolophus sedulus"
"693";"Rhinolophus simulator";"Rhinolophus simulator"
"694";"Rhinolophus silvestris";"Rhinolophus silvestris"
"695";"Rhinolophus rex";"Rhinolophus rex"
"696";"Ardops nichollsi";"Ardops nichollsi"
"697";"Rhinolophus pusillus";"Rhinolophus pusillus"
"698";"Murina harrisoni";"Murina harrisoni"
"699";"Rhinolophus rufus";"Rhinolophus rufus"
"700";"Hypsugo alaschanicus";"Hypsugo alaschanicus"
"701";"Rhinolophus rouxii";"Rhinolophus rouxii"
"702";"Artibeus lituratus";"Artibeus lituratus"
"703";"Artibeus jamaicensis";"Artibeus jamaicensis"
"704";"Thyroptera devivoi";"Thyroptera devivoi"
"705";"Rousettus linduensis";"Rousettus linduensis"
"706";"Hipposideros pelingensis";"Hipposideros pelingensis"
"707";"Artibeus inopinatus";"Artibeus inopinatus"
"708";"Artibeus hirsutus";"Artibeus hirsutus"
"709";"Plecotus ognevi";"Plecotus ognevi"
"710";"Enchisthenes hartii";"Enchisthenes hartii"
"711";"Rhinopoma macinnesi";"Rhinopoma macinnesi"
"712";"Rhinopoma muscatellum";"Rhinopoma muscatellum"
"713";"Dermanura watsoni";"Dermanura watsoni"
"714";"Dermanura tolteca";"Dermanura tolteca"
"715";"Artibeus planirostris";"Artibeus planirostris"
"716";"Dermanura phaeotis";"Dermanura phaeotis"
"717";"Artibeus obscurus";"Artibeus obscurus"
"718";"Rhinophylla fischerae";"Rhinophylla fischerae"
"719";"Rhinophylla alethina";"Rhinophylla alethina"
"720";"Platyrrhinus masu";"Platyrrhinus masu"
"721";"Pteralopex flanneryi";"Pteralopex flanneryi"
"722";"Artibeus fraterculus";"Artibeus fraterculus"
"723";"Rhinopoma microphyllum";"Rhinopoma microphyllum"
"724";"Rhinopoma hardwickii";"Rhinopoma hardwickii"
"725";"Dermanura glauca";"Dermanura glauca"
"726";"Artibeus concolor";"Artibeus concolor"
"727";"Artibeus fimbriatus";"Artibeus fimbriatus"
"728";"Hipposideros scutinares";"Hipposideros scutinares"
"729";"Sturnira mistratensis";"Sturnira mistratensis"
"730";"Dermanura azteca";"Dermanura azteca"
"731";"Dermanura cinerea";"Dermanura cinerea"
"732";"Artibeus amplus";"Artibeus amplus"
"733";"Dermanura anderseni";"Dermanura anderseni"
"734";"Rhinophylla pumilio";"Rhinophylla pumilio"
"735";"Rousettus celebensis";"Rousettus celebensis"
"736";"Kerivoula kachinensis";"Kerivoula kachinensis"
"737";"Anoura fistulata";"Anoura fistulata"
"738";"Rousettus leschenaultii";"Rousettus leschenaultii"
"739";"Rousettus amplexicaudatus";"Rousettus amplexicaudatus"
"740";"Miniopterus paululus";"Miniopterus paululus"
"741";"Rousettus lanosus";"Rousettus lanosus"
"742";"Platyrrhinus ismaeli";"Platyrrhinus ismaeli"
"743";"Plecotus macrobullaris";"Plecotus macrobullaris"
"744";"Centronycteris maximiliani";"Centronycteris maximiliani"
"745";"Rousettus spinalatus";"Rousettus spinalatus"
"746";"Boneia bidens";"Boneia bidens"
"747";"Rousettus madagascariensis";"Rousettus madagascariensis"
"748";"Myotis davidii";"Myotis davidii"
"749";"Erophylla bombifrons";"Erophylla bombifrons"
"750";"Nyctophilus walkeri";"Nyctophilus walkeri"
"751";"Nyctophilus sherrini";"Nyctophilus sherrini"
"752";"Carollia sowelli";"Carollia sowelli"
"753";"Lasiurus xanthinus";"Lasiurus xanthinus"
"754";"Eptesicus gobiensis";"Eptesicus gobiensis"
"755";"Saccolaimus peli";"Saccolaimus peli"
"756";"Saccopteryx bilineata";"Saccopteryx bilineata"
"757";"Tonatia saurophila";"Tonatia saurophila"
"758";"Rhinolophus sinicus";"Rhinolophus sinicus"
"759";"Saccopteryx gymnura";"Saccopteryx gymnura"
"760";"Saccopteryx canescens";"Saccopteryx canescens"
"761";"Arielulus circumdatus";"Arielulus circumdatus"
"762";"Saccopteryx leptura";"Saccopteryx leptura"
"763";"Nycticeinops schlieffeni";"Nycticeinops schlieffeni"
"764";"Myotis annamiticus";"Myotis annamiticus"
"765";"Cormura brevirostris";"Cormura brevirostris"
"766";"Nyctimene vizcaccia";"Nyctimene vizcaccia"
"767";"Rhogeessa tumida";"Rhogeessa tumida"
"768";"Nyctimene robinsoni";"Nyctimene robinsoni"
"769";"Nyctimene major";"Nyctimene major"
"770";"Nyctimene certans";"Nyctimene certans"
"771";"Rhogeessa mira";"Rhogeessa mira"
"772";"Nyctimene cephalotes";"Nyctimene cephalotes"
"773";"Rhogeessa parvula";"Rhogeessa parvula"
"774";"Baeodon gracilis";"Baeodon gracilis"
"775";"Laephotis wintoni";"Laephotis wintoni"
"776";"Rhogeessa minutilla";"Rhogeessa minutilla"
"777";"Laephotis namibensis";"Laephotis namibensis"
"778";"Nyctimene sanctacrucis";"Nyctimene sanctacrucis"
"779";"Nyctimene masalai";"Nyctimene masalai"
"780";"Nyctimene minutus";"Nyctimene minutus"
"781";"Nyctimene malaitensis";"Nyctimene malaitensis"
"782";"Nyctimene cyclotis";"Nyctimene cyclotis"
"783";"Hipposideros orbiculus";"Hipposideros orbiculus"
"784";"Nyctimene draconilla";"Nyctimene draconilla"
"785";"Nyctimene rabori";"Nyctimene rabori"
"786";"Nyctimene aello";"Nyctimene aello"
"787";"Scotorepens sanborni";"Scotorepens sanborni"
"788";"Scoteanax rueppellii";"Scoteanax rueppellii"
"789";"Nyctophilus howensis";"Nyctophilus howensis"
"790";"Austronomus kuboriensis";"Austronomus kuboriensis"
"791";"Nyctophilus heran";"Nyctophilus heran"
"792";"Centurio senex";"Centurio senex"
"793";"Myotis dinellii";"Myotis dinellii"
"794";"Nyctophilus microdon";"Nyctophilus microdon"
"795";"Platyrrhinus albericoi";"Platyrrhinus albericoi"
"796";"Micronycteris matses";"Micronycteris matses"
"797";"Nyctophilus arnhemensis";"Nyctophilus arnhemensis"
"798";"Nyctinomops femorosaccus";"Nyctinomops femorosaccus"
"799";"Nyctinomops aurispinosus";"Nyctinomops aurispinosus"
"800";"Rhynchonycteris naso";"Rhynchonycteris naso"
"801";"Nyctinomops laticaudatus";"Nyctinomops laticaudatus"
"802";"Lasiurus pfeifferi";"Lasiurus pfeifferi"
"803";"Myotis bucharensis";"Myotis bucharensis"
"804";"Laephotis angolensis";"Laephotis angolensis"
"805";"Laephotis botswanae";"Laephotis botswanae"
"806";"Rhogeessa hussoni";"Rhogeessa hussoni"
"807";"Pipistrellus hanaki";"Pipistrellus hanaki"
"808";"Dyacopterus brooksi";"Dyacopterus brooksi"
"809";"Natalus mexicanus";"Natalus mexicanus"
"810";"Dobsonia anderseni";"Dobsonia anderseni"
"811";"Pteropus capistratus";"Pteropus capistratus"
"812";"Platyrrhinus matapalensis";"Platyrrhinus matapalensis"
"813";"Nycteris grandis";"Nycteris grandis"
"814";"Nycteris hispida";"Nycteris hispida"
"815";"Nycteris intermedia";"Nycteris intermedia"
"816";"Nycteris javanica";"Nycteris javanica"
"817";"Nycteris macrotis";"Nycteris macrotis"
"818";"Nycteris major";"Nycteris major"
"819";"Nycticeius cubanus";"Nycticeius cubanus"
"820";"Nycteris nana";"Nycteris nana"
"821";"Nycteris thebaica";"Nycteris thebaica"
"822";"Pteropus cognatus";"Pteropus cognatus"
"823";"Nycteris tragata";"Nycteris tragata"
"824";"Nycteris woodi";"Nycteris woodi"
"825";"Chaerephon jobimena";"Chaerephon jobimena"
"826";"Nycticeius humeralis";"Nycticeius humeralis"
"827";"Nyctalus lasiopterus";"Nyctalus lasiopterus"
"828";"Miniopterus sororculus";"Miniopterus sororculus"
"829";"Nyctalus noctula";"Nyctalus noctula"
"830";"Nyctalus leisleri";"Nyctalus leisleri"
"831";"Nyctalus aviator";"Nyctalus aviator"
"832";"Nyctalus montanus";"Nyctalus montanus"
"833";"Rhinolophus madurensis";"Rhinolophus madurensis"
"834";"Nycteris arge";"Nycteris arge"
"835";"Murina hilgendorfi";"Murina hilgendorfi"
"836";"Nycteris gambiensis";"Nycteris gambiensis"
"837";"Myotis rufopictus";"Myotis rufopictus"
"838";"Nycteris aurita";"Nycteris aurita"
"839";"Histiotus magellanicus";"Histiotus magellanicus"
"840";"Chaerephon solomonis";"Chaerephon solomonis"
"841";"Chaerephon russatus";"Chaerephon russatus"
"842";"Mops pusillus";"Mops pusillus"
"843";"Lasiurus degelidus";"Lasiurus degelidus"
"844";"Chaerephon pumilus";"Chaerephon pumilus"
"845";"Chaerephon plicatus";"Chaerephon plicatus"
"846";"Chaerephon nigeriae";"Chaerephon nigeriae"
"847";"Chaerephon major";"Chaerephon major"
"848";"Miniopterus newtoni";"Miniopterus newtoni"
"849";"Chaerephon johorensis";"Chaerephon johorensis"
"850";"Chaerephon gallagheri";"Chaerephon gallagheri"
"851";"Chaerephon chapini";"Chaerephon chapini"
"852";"Noctilio leporinus";"Noctilio leporinus"
"853";"Rhogeessa io";"Rhogeessa io"
"854";"Noctilio albiventris";"Noctilio albiventris"
"855";"Chaerephon bivittatus";"Chaerephon bivittatus"
"856";"Chaerephon bemmeleni";"Chaerephon bemmeleni"
"857";"Chaerephon ansorgei";"Chaerephon ansorgei"
"858";"Chaerephon aloysiisabaudiae";"Chaerephon aloysiisabaudiae"
"859";"Platyrrhinus nigellus";"Platyrrhinus nigellus"
"860";"Kerivoula papillosa";"Kerivoula papillosa"
"861";"Xeronycteris vieirai";"Xeronycteris vieirai"
"862";"Phoniscus papuensis";"Phoniscus papuensis"
"863";"Kerivoula pellucida";"Kerivoula pellucida"
"864";"Kerivoula phalaena";"Kerivoula phalaena"
"865";"Kerivoula lanosa";"Kerivoula lanosa"
"866";"Lyroderma lyra";"Lyroderma lyra"
"867";"Kerivoula minuta";"Kerivoula minuta"
"868";"Megaderma spasma";"Megaderma spasma"
"869";"Kerivoula myrella";"Kerivoula myrella"
"870";"Cyttarops alecto";"Cyttarops alecto"
"871";"Kerivoula picta";"Kerivoula picta"
"872";"Kerivoula smithii";"Kerivoula smithii"
"873";"Kerivoula whiteheadi";"Kerivoula whiteheadi"
"874";"Notopteris macdonaldi";"Notopteris macdonaldi"
"875";"Lonchophylla chocoana";"Lonchophylla chocoana"
"876";"Centronycteris centralis";"Centronycteris centralis"
"877";"Megaerops ecaudatus";"Megaerops ecaudatus"
"878";"Megaerops kusnotoi";"Megaerops kusnotoi"
"879";"Epomophorus anselli";"Epomophorus anselli"
"880";"Megaerops niphanae";"Megaerops niphanae"
"881";"Scotophilus borbonicus";"Scotophilus borbonicus"
"882";"Scotomanes ornatus";"Scotomanes ornatus"
"883";"Scotoecus pallidus";"Scotoecus pallidus"
"884";"Scotoecus hirundo";"Scotoecus hirundo"
"885";"Scotoecus albofuscus";"Scotoecus albofuscus"
"886";"Eumops underwoodi";"Eumops underwoodi"
"887";"Macrophyllum macrophyllum";"Macrophyllum macrophyllum"
"888";"Eumops maurus";"Eumops maurus"
"889";"Eumops hansae";"Eumops hansae"
"890";"Eumops glaucinus";"Eumops glaucinus"
"891";"Eumops dabbenei";"Eumops dabbenei"
"892";"Eumops bonariensis";"Eumops bonariensis"
"893";"Ectophylla alba";"Ectophylla alba"
"894";"Scleronycteris ega";"Scleronycteris ega"
"895";"Macroglossus minimus";"Macroglossus minimus"
"896";"Macroglossus sobrinus";"Macroglossus sobrinus"
"897";"Eidolon dupreanum";"Eidolon dupreanum"
"898";"Eidolon helvum";"Eidolon helvum"
"899";"Eudiscopus denticulus";"Eudiscopus denticulus"
"900";"Euderma maculatum";"Euderma maculatum"
"901";"Aethalops alecto";"Aethalops alecto"
