"";"parsed";"iucn"
"7538";"Euryceros prevostii";"Euryceros prevostii"
"7539";"Graminicola bengalensis";"Graminicola bengalensis"
"7540";"Mirafra williamsi";"Mirafra williamsi"
"7541";"Pavo muticus";"Pavo muticus"
"7542";"Egretta sacra";"Egretta sacra"
"7543";"Henicorhina negreti";"Henicorhina negreti"
"7544";"Chaetura pelagica";"Chaetura pelagica"
"7545";"Tympanuchus pallidicinctus";"Tympanuchus pallidicinctus"
"7546";"Zosterops ficedulinus";"Zosterops ficedulinus"
"7547";"Prinia familiaris";"Prinia familiaris"
"7548";"Alopecoenas sanctaecrucis";"Alopecoenas sanctaecrucis"
"7549";"Sholicola albiventris";"Sholicola albiventris"
"7550";"Grallaria fenwickorum";"Grallaria fenwickorum"
"7551";"Pternistis atrifrons";"Pternistis atrifrons"
"7552";"Anorrhinus austeni";"Anorrhinus austeni"
"7553";"Perdicula asiatica";"Perdicula asiatica"
"7554";"Syrmaticus reevesii";"Syrmaticus reevesii"
"7555";"Chrysolophus pictus";"Chrysolophus pictus"
"7556";"Eolophus roseicapilla";"Eolophus roseicapilla"
"7557";"Agapornis canus";"Agapornis canus"
"7558";"Hypotaenidia torquata";"Hypotaenidia torquata"
"7559";"Pterocles orientalis";"Pterocles orientalis"
"7560";"Anarhynchus frontalis";"Anarhynchus frontalis"
"7561";"Aethia cristatella";"Aethia cristatella"
"7562";"Eudyptes sclateri";"Eudyptes sclateri"
"7563";"Pterodroma magentae";"Pterodroma magentae"
"7564";"Ficedula semitorquata";"Ficedula semitorquata"
"7565";"Cichladusa guttata";"Cichladusa guttata"
"7566";"Saxicola insignis";"Saxicola insignis"
"7567";"Myrmecocichla formicivora";"Myrmecocichla formicivora"
"7568";"Pholia sharpii";"Pholia sharpii"
"7569";"Phylloscopus intermedius";"Phylloscopus intermedius"
"7570";"Fulvetta vinipectus";"Fulvetta vinipectus"
"7571";"Ammomanes deserti";"Ammomanes deserti"
"7572";"Cinnyris venustus";"Cinnyris venustus"
"7573";"Cinnyris mariquensis";"Cinnyris mariquensis"
"7574";"Passer swainsonii";"Passer swainsonii"
"7575";"Anthus campestris";"Anthus campestris"
"7576";"Sporopipes frontalis";"Sporopipes frontalis"
"7577";"Ploceus intermedius";"Ploceus intermedius"
"7578";"Foudia madagascariensis";"Foudia madagascariensis"
"7579";"Foudia sechellarum";"Foudia sechellarum"
"7580";"Lonchura malacca";"Lonchura malacca"
"7581";"Crithagra citrinipectus";"Crithagra citrinipectus"
"7582";"Chloris sinica";"Chloris sinica"
"7583";"Leucosticte nemoricola";"Leucosticte nemoricola"
"7584";"Telespiza cantans";"Telespiza cantans"
"7585";"Gubernatrix cristata";"Gubernatrix cristata"
"7586";"Schistochlamys melanopis";"Schistochlamys melanopis"
"7587";"Phonipara canora";"Phonipara canora"
"7588";"Molothrus bonariensis";"Molothrus bonariensis"
"7589";"Pterorhinus courtoisi";"Pterorhinus courtoisi"
"7590";"Pterorhinus albogularis";"Pterorhinus albogularis"
"7591";"Zosterops somadikartai";"Zosterops somadikartai"
"7592";"Myzomela rubrobrunnea";"Myzomela rubrobrunnea"
"7593";"Myiagra hebetior";"Myiagra hebetior"
"7594";"Euplectes laticauda";"Euplectes laticauda"
"7595";"Leucosticte atrata";"Leucosticte atrata"
"7596";"Casuarius casuarius";"Casuarius casuarius"
"7597";"Dromaius novaehollandiae";"Dromaius novaehollandiae"
"7598";"Alectura lathami";"Alectura lathami"
"7599";"Francolinus francolinus";"Francolinus francolinus"
"7600";"Francolinus pondicerianus";"Francolinus pondicerianus"
"7601";"Coturnix coturnix";"Coturnix coturnix"
"7602";"Gallus varius";"Gallus varius"
"7603";"Chrysolophus amherstiae";"Chrysolophus amherstiae"
"7604";"Dendrocygna arcuata";"Dendrocygna arcuata"
"7605";"Cygnus atratus";"Cygnus atratus"
"7606";"Anser anser";"Anser anser"
"7607";"Anser indicus";"Anser indicus"
"7608";"Branta canadensis";"Branta canadensis"
"7609";"Branta leucopsis";"Branta leucopsis"
"7610";"Cereopsis novaehollandiae";"Cereopsis novaehollandiae"
"7611";"Alopochen aegyptiaca";"Alopochen aegyptiaca"
"7612";"Cairina moschata";"Cairina moschata"
"7613";"Aix galericulata";"Aix galericulata"
"7614";"Ceyx websteri";"Ceyx websteri"
"7615";"Chalcites lucidus";"Chalcites lucidus"
"7616";"Centropus ateralbus";"Centropus ateralbus"
"7617";"Eos bornea";"Eos bornea"
