"";"parsed";"ebird_itis"
"518";"Lophoceros pallidirostris";"Lophoceros pallidirostris"
"519";"Anthracoceros coronatus";"Anthracoceros coronatus"
"520";"Bycanistes albotibialis";"Bycanistes albotibialis"
"521";"Ceratogymna atrata";"Ceratogymna atrata"
"522";"Ceratogymna elata";"Ceratogymna elata"
"523";"Bucorvus leadbeateri";"Bucorvus leadbeateri"
"524";"Phoeniculus purpureus";"Phoeniculus purpureus"
"525";"Phoeniculus damarensis";"Phoeniculus damarensis"
"526";"Phoeniculus somaliensis";"Phoeniculus somaliensis"
"527";"Phoeniculus bollei";"Phoeniculus bollei"
"528";"Rhinopomastus aterrimus";"Rhinopomastus aterrimus"
"529";"Rhinopomastus cyanomelas";"Rhinopomastus cyanomelas"
"530";"Rhinopomastus minor";"Rhinopomastus minor"
"531";"Apaloderma narina";"Apaloderma narina"
"532";"Apaloderma aequatoriale";"Apaloderma aequatoriale"
"533";"Apaloderma vittatum";"Apaloderma vittatum"
"534";"Pharomachrus mocinno";"Pharomachrus mocinno"
"535";"Pharomachrus antisianus";"Pharomachrus antisianus"
"536";"Pharomachrus auriceps";"Pharomachrus auriceps"
"537";"Pharomachrus pavoninus";"Pharomachrus pavoninus"
"538";"Trogon massena";"Trogon massena"
"539";"Trogon clathratus";"Trogon clathratus"
"540";"Trogon bairdii";"Trogon bairdii"
"541";"Trogon citreolus";"Trogon citreolus"
"542";"Trogon personatus";"Trogon personatus"
"543";"Trogon rufus";"Trogon rufus"
"544";"Harpactes fasciatus";"Harpactes fasciatus"
"545";"Harpactes kasumba";"Harpactes kasumba"
"546";"Harpactes diardii";"Harpactes diardii"
"547";"Harpactes ardens";"Harpactes ardens"
"548";"Harpactes whiteheadi";"Harpactes whiteheadi"
"549";"Harpactes orrhophaeus";"Harpactes orrhophaeus"
"550";"Harpactes duvaucelii";"Harpactes duvaucelii"
"551";"Harpactes erythrocephalus";"Harpactes erythrocephalus"
"552";"Harpactes wardi";"Harpactes wardi"
"553";"Coracias abyssinicus";"Coracias abyssinicus"
"554";"Coracias caudatus";"Coracias caudatus"
"555";"Coracias spatulatus";"Coracias spatulatus"
"556";"Coracias naevius";"Coracias naevius"
"557";"Coracias cyanogaster";"Coracias cyanogaster"
"558";"Eurystomus glaucurus";"Eurystomus glaucurus"
"559";"Eurystomus gularis";"Eurystomus gularis"
"560";"Eurystomus orientalis";"Eurystomus orientalis"
"561";"Brachypteracias leptosomus";"Brachypteracias leptosomus"
"562";"Atelornis pittoides";"Atelornis pittoides"
"563";"Atelornis crossleyi";"Atelornis crossleyi"
"564";"Leptosomus discolor";"Leptosomus discolor"
"565";"Baryphthengus ruficapillus";"Baryphthengus ruficapillus"
"566";"Todus multicolor";"Todus multicolor"
"567";"Todus angustirostris";"Todus angustirostris"
"568";"Todus mexicanus";"Todus mexicanus"
"569";"Todus todus";"Todus todus"
"570";"Todus subulatus";"Todus subulatus"
"571";"Alcedo hercules";"Alcedo hercules"
"572";"Alcedo semitorquata";"Alcedo semitorquata"
"573";"Alcedo quadribrachys";"Alcedo quadribrachys"
"574";"Alcedo meninting";"Alcedo meninting"
"575";"Ceyx azureus";"Ceyx azureus"
"576";"Corythornis vintsioides";"Corythornis vintsioides"
"577";"Corythornis leucogaster";"Corythornis leucogaster"
"578";"Alcedo coerulescens";"Alcedo coerulescens"
"579";"Ceyx pusillus";"Ceyx pusillus"
"580";"Corythornis madagascariensis";"Corythornis madagascariensis"
"581";"Ispidina picta";"Ispidina picta"
"582";"Ispidina lecontei";"Ispidina lecontei"
"583";"Dacelo novaeguineae";"Dacelo novaeguineae"
"584";"Dacelo leachii";"Dacelo leachii"
"585";"Dacelo tyro";"Dacelo tyro"
"586";"Dacelo gaudichaud";"Dacelo gaudichaud"
"587";"Clytoceyx rex";"Clytoceyx rex"
"588";"Pelargopsis amauroptera";"Pelargopsis amauroptera"
"589";"Pelargopsis capensis";"Pelargopsis capensis"
"590";"Pelargopsis melanorhyncha";"Pelargopsis melanorhyncha"
"591";"Halcyon coromanda";"Halcyon coromanda"
"592";"Halcyon badia";"Halcyon badia"
"593";"Halcyon cyanoventris";"Halcyon cyanoventris"
"594";"Halcyon leucocephala";"Halcyon leucocephala"
"595";"Halcyon senegalensis";"Halcyon senegalensis"
"596";"Halcyon senegaloides";"Halcyon senegaloides"
"597";"Halcyon malimbica";"Halcyon malimbica"
"598";"Halcyon albiventris";"Halcyon albiventris"
"599";"Halcyon chelicuti";"Halcyon chelicuti"
"600";"Todiramphus winchelli";"Todiramphus winchelli"
"601";"Todiramphus diops";"Todiramphus diops"
"602";"Todiramphus lazuli";"Todiramphus lazuli"
"603";"Todiramphus macleayii";"Todiramphus macleayii"
"604";"Todiramphus leucopygius";"Todiramphus leucopygius"
"605";"Todiramphus farquhari";"Todiramphus farquhari"
"606";"Todiramphus pyrrhopygius";"Todiramphus pyrrhopygius"
"607";"Todiramphus recurvirostris";"Todiramphus recurvirostris"
"608";"Todiramphus funebris";"Todiramphus funebris"
"609";"Todiramphus enigma";"Todiramphus enigma"
"610";"Todiramphus saurophagus";"Todiramphus saurophagus"
"611";"Todiramphus sanctus";"Todiramphus sanctus"
"612";"Caridonax fulgidus";"Caridonax fulgidus"
"613";"Melidora macrorrhina";"Melidora macrorrhina"
"614";"Actenoides concretus";"Actenoides concretus"
"615";"Actenoides lindsayi";"Actenoides lindsayi"
"616";"Actenoides hombroni";"Actenoides hombroni"
"617";"Syma torotoro";"Syma torotoro"
"618";"Syma megarhyncha";"Syma megarhyncha"
"619";"Tanysiptera galatea";"Tanysiptera galatea"
"620";"Tanysiptera riedelii";"Tanysiptera riedelii"
"621";"Tanysiptera carolinae";"Tanysiptera carolinae"
"622";"Tanysiptera nympha";"Tanysiptera nympha"
"623";"Tanysiptera danae";"Tanysiptera danae"
"624";"Megaceryle maxima";"Megaceryle maxima"
"625";"Megaceryle lugubris";"Megaceryle lugubris"
"626";"Megaceryle alcyon";"Megaceryle alcyon"
"627";"Nyctyornis amictus";"Nyctyornis amictus"
"628";"Nyctyornis athertoni";"Nyctyornis athertoni"
"629";"Merops gularis";"Merops gularis"
"630";"Merops bulocki";"Merops bulocki"
"631";"Merops bullockoides";"Merops bullockoides"
"632";"Merops pusillus";"Merops pusillus"
"633";"Merops oreobates";"Merops oreobates"
"634";"Merops hirundineus";"Merops hirundineus"
"635";"Merops breweri";"Merops breweri"
"636";"Merops revoilii";"Merops revoilii"
"637";"Merops albicollis";"Merops albicollis"
"638";"Merops boehmi";"Merops boehmi"
"639";"Merops superciliosus";"Merops superciliosus"
"640";"Merops philippinus";"Merops philippinus"
"641";"Merops ornatus";"Merops ornatus"
"642";"Merops leschenaulti";"Merops leschenaulti"
"643";"Merops malimbicus";"Merops malimbicus"
"644";"Merops nubicus";"Merops nubicus"
"645";"Merops nubicoides";"Merops nubicoides"
"646";"Colius striatus";"Colius striatus"
"647";"Colius leucocephalus";"Colius leucocephalus"
"648";"Colius castanotus";"Colius castanotus"
"649";"Colius colius";"Colius colius"
"650";"Urocolius macrourus";"Urocolius macrourus"
"651";"Clamator jacobinus";"Clamator jacobinus"
"652";"Clamator levaillantii";"Clamator levaillantii"
"653";"Clamator coromandus";"Clamator coromandus"
"654";"Pachycoccyx audeberti";"Pachycoccyx audeberti"
"655";"Hierococcyx varius";"Hierococcyx varius"
"656";"Hierococcyx vagans";"Hierococcyx vagans"
"657";"Cuculus solitarius";"Cuculus solitarius"
"658";"Cuculus gularis";"Cuculus gularis"
"659";"Cuculus poliocephalus";"Cuculus poliocephalus"
"660";"Cuculus rochii";"Cuculus rochii"
"661";"Cercococcyx olivinus";"Cercococcyx olivinus"
"662";"Cacomantis sonneratii";"Cacomantis sonneratii"
"663";"Cacomantis passerinus";"Cacomantis passerinus"
"664";"Cacomantis merulinus";"Cacomantis merulinus"
"665";"Cacomantis castaneiventris";"Cacomantis castaneiventris"
"666";"Cacomantis flabelliformis";"Cacomantis flabelliformis"
"667";"Chrysococcyx klaas";"Chrysococcyx klaas"
"668";"Chrysococcyx caprius";"Chrysococcyx caprius"
"669";"Microdynamis parva";"Microdynamis parva"
"670";"Eudynamys scolopaceus";"Eudynamys scolopaceus"
"671";"Urodynamis taitensis";"Urodynamis taitensis"
"672";"Scythrops novaehollandiae";"Scythrops novaehollandiae"
"673";"Phaenicophaeus diardi";"Phaenicophaeus diardi"
"674";"Phaenicophaeus sumatranus";"Phaenicophaeus sumatranus"
"675";"Phaenicophaeus tristis";"Phaenicophaeus tristis"
"676";"Phaenicophaeus viridirostris";"Phaenicophaeus viridirostris"
"677";"Taccocua leschenaultii";"Taccocua leschenaultii"
"678";"Rhinortha chlorophaea";"Rhinortha chlorophaea"
"679";"Phaenicophaeus pyrrhocephalus";"Phaenicophaeus pyrrhocephalus"
"680";"Dasylophus superciliosus";"Dasylophus superciliosus"
"681";"Coua delalandei";"Coua delalandei"
"682";"Coua gigas";"Coua gigas"
"683";"Centropus milo";"Centropus milo"
"684";"Centropus goliath";"Centropus goliath"
"685";"Centropus menbeki";"Centropus menbeki"
"686";"Centropus phasianinus";"Centropus phasianinus"
"687";"Centropus bernsteini";"Centropus bernsteini"
"688";"Centropus chalybeus";"Centropus chalybeus"
"689";"Centropus rectunguis";"Centropus rectunguis"
"690";"Centropus sinensis";"Centropus sinensis"
"691";"Centropus nigrorufus";"Centropus nigrorufus"
"692";"Centropus viridis";"Centropus viridis"
"693";"Centropus grillii";"Centropus grillii"
"694";"Centropus bengalensis";"Centropus bengalensis"
"695";"Centropus chlororhynchos";"Centropus chlororhynchos"
"696";"Centropus anselli";"Centropus anselli"
"697";"Centropus monachus";"Centropus monachus"
"698";"Centropus cupreicaudus";"Centropus cupreicaudus"
"699";"Centropus senegalensis";"Centropus senegalensis"
"700";"Centropus superciliosus";"Centropus superciliosus"
"701";"Centropus melanops";"Centropus melanops"
"702";"Centropus celebensis";"Centropus celebensis"
"703";"Coccycua pumila";"Coccycua pumila"
"704";"Coccyzus euleri";"Coccyzus euleri"
"705";"Coccyzus melacoryphus";"Coccyzus melacoryphus"
"706";"Coccyzus pluvialis";"Coccyzus pluvialis"
"707";"Opisthocomus hoazin";"Opisthocomus hoazin"
"708";"Guira guira";"Guira guira"
"709";"Geococcyx californianus";"Geococcyx californianus"
"710";"Neomorphus radiolosus";"Neomorphus radiolosus"
"711";"Neomorphus rufipennis";"Neomorphus rufipennis"
"712";"Neomorphus pucheranii";"Neomorphus pucheranii"
"713";"Chalcopsitta atra";"Chalcopsitta atra"
"714";"Chalcopsitta scintillata";"Chalcopsitta scintillata"
"715";"Eos histrio";"Eos histrio"
"716";"Eos squamata";"Eos squamata"
"717";"Pseudeos fuscata";"Pseudeos fuscata"
"718";"Trichoglossus euteles";"Trichoglossus euteles"
"719";"Psitteuteles versicolor";"Psitteuteles versicolor"
"720";"Lorius domicella";"Lorius domicella"
"721";"Lorius hypoinochrous";"Lorius hypoinochrous"
"722";"Lorius albidinucha";"Lorius albidinucha"
"723";"Vini australis";"Vini australis"
"724";"Vini kuhlii";"Vini kuhlii"
"725";"Glossopsitta concinna";"Glossopsitta concinna"
"726";"Charmosyna josefinae";"Charmosyna josefinae"
"727";"Oreopsittacus arfaki";"Oreopsittacus arfaki"
"728";"Neopsittacus musschenbroekii";"Neopsittacus musschenbroekii"
"729";"Neopsittacus pullicauda";"Neopsittacus pullicauda"
"730";"Probosciger aterrimus";"Probosciger aterrimus"
"731";"Calyptorhynchus banksii";"Calyptorhynchus banksii"
"732";"Cacatua moluccensis";"Cacatua moluccensis"
"733";"Cacatua pastinator";"Cacatua pastinator"
"734";"Cacatua tenuirostris";"Cacatua tenuirostris"
"735";"Nestor productus";"Nestor productus"
"736";"Nestor meridionalis";"Nestor meridionalis"
"737";"Micropsitta keiensis";"Micropsitta keiensis"
"738";"Micropsitta pusio";"Micropsitta pusio"
"739";"Micropsitta meeki";"Micropsitta meeki"
"740";"Micropsitta finschii";"Micropsitta finschii"
"741";"Micropsitta bruijnii";"Micropsitta bruijnii"
"742";"Psittaculirostris edwardsii";"Psittaculirostris edwardsii"
"743";"Psittaculirostris salvadorii";"Psittaculirostris salvadorii"
"744";"Bolbopsittacus lunulatus";"Bolbopsittacus lunulatus"
"745";"Psittacella brehmii";"Psittacella brehmii"
"746";"Psittacella modesta";"Psittacella modesta"
"747";"Psittacella madaraszi";"Psittacella madaraszi"
"748";"Geoffroyus simplex";"Geoffroyus simplex"
"749";"Prioniturus waterstradti";"Prioniturus waterstradti"
"750";"Prioniturus platenae";"Prioniturus platenae"
"751";"Prioniturus flavicans";"Prioniturus flavicans"
"752";"Prioniturus mada";"Prioniturus mada"
"753";"Tanygnathus megalorynchos";"Tanygnathus megalorynchos"
"754";"Prosopeia splendens";"Prosopeia splendens"
"755";"Prosopeia personata";"Prosopeia personata"
"756";"Alisterus scapularis";"Alisterus scapularis"
"757";"Alisterus amboinensis";"Alisterus amboinensis"
"758";"Alisterus chloropterus";"Alisterus chloropterus"
"759";"Aprosmictus jonquillaceus";"Aprosmictus jonquillaceus"
"760";"Aprosmictus erythropterus";"Aprosmictus erythropterus"
"761";"Polytelis anthopeplus";"Polytelis anthopeplus"
"762";"Purpureicephalus spurius";"Purpureicephalus spurius"
"763";"Barnardius zonarius";"Barnardius zonarius"
"764";"Platycercus caledonicus";"Platycercus caledonicus"
"765";"Platycercus venustus";"Platycercus venustus"
"766";"Platycercus adscitus";"Platycercus adscitus"
"767";"Platycercus eximius";"Platycercus eximius"
"768";"Platycercus icterotis";"Platycercus icterotis"
"769";"Northiella haematogaster";"Northiella haematogaster"
"770";"Psephotus haematonotus";"Psephotus haematonotus"
"771";"Cyanoramphus unicolor";"Cyanoramphus unicolor"
"772";"Cyanoramphus auriceps";"Cyanoramphus auriceps"
"773";"Cyanoramphus zealandicus";"Cyanoramphus zealandicus"
"774";"Eunymphicus cornutus";"Eunymphicus cornutus"
"775";"Neophema elegans";"Neophema elegans"
"776";"Neophema petrophila";"Neophema petrophila"
"777";"Neophema pulchella";"Neophema pulchella"
"778";"Neophema splendida";"Neophema splendida"
"779";"Pezoporus wallicus";"Pezoporus wallicus"
"780";"Mascarinus mascarin";"Mascarinus mascarin"
"781";"Poicephalus gulielmi";"Poicephalus gulielmi"
"782";"Poicephalus crassus";"Poicephalus crassus"
"783";"Poicephalus meyeri";"Poicephalus meyeri"
"784";"Poicephalus flavifrons";"Poicephalus flavifrons"
"785";"Poicephalus rufiventris";"Poicephalus rufiventris"
"786";"Poicephalus rueppellii";"Poicephalus rueppellii"
"787";"Agapornis pullarius";"Agapornis pullarius"
"788";"Agapornis taranta";"Agapornis taranta"
"789";"Agapornis nigrigenis";"Agapornis nigrigenis"
"790";"Loriculus vernalis";"Loriculus vernalis"
"791";"Loriculus beryllinus";"Loriculus beryllinus"
"792";"Loriculus philippensis";"Loriculus philippensis"
"793";"Loriculus galgulus";"Loriculus galgulus"
"794";"Loriculus stigmatus";"Loriculus stigmatus"
"795";"Loriculus catamene";"Loriculus catamene"
"796";"Loriculus aurantiifrons";"Loriculus aurantiifrons"
"797";"Loriculus pusillus";"Loriculus pusillus"
"798";"Psittacula derbiana";"Psittacula derbiana"
"799";"Anodorhynchus hyacinthinus";"Anodorhynchus hyacinthinus"
"800";"Ara macao";"Ara macao"
"801";"Orthopsittaca manilatus";"Orthopsittaca manilatus"
"802";"Primolius maracana";"Primolius maracana"
"803";"Primolius auricollis";"Primolius auricollis"
"804";"Psittacara leucophthalmus";"Psittacara leucophthalmus"
"805";"Aratinga jandaya";"Aratinga jandaya"
"806";"Aratinga weddellii";"Aratinga weddellii"
"807";"Eupsittula aurea";"Eupsittula aurea"
"808";"Eupsittula cactorum";"Eupsittula cactorum"
"809";"Pyrrhura cruentata";"Pyrrhura cruentata"
"810";"Pyrrhura frontalis";"Pyrrhura frontalis"
"811";"Pyrrhura egregia";"Pyrrhura egregia"
"812";"Pyrrhura hoematotis";"Pyrrhura hoematotis"
"813";"Pyrrhura rhodocephala";"Pyrrhura rhodocephala"
"814";"Enicognathus ferrugineus";"Enicognathus ferrugineus"
"815";"Psilopsiagon aymara";"Psilopsiagon aymara"
"816";"Psilopsiagon aurifrons";"Psilopsiagon aurifrons"
"817";"Bolborhynchus lineola";"Bolborhynchus lineola"
"818";"Bolborhynchus orbygnesius";"Bolborhynchus orbygnesius"
"819";"Forpus modestus";"Forpus modestus"
"820";"Brotogeris tirica";"Brotogeris tirica"
"821";"Brotogeris cyanoptera";"Brotogeris cyanoptera"
"822";"Brotogeris chrysoptera";"Brotogeris chrysoptera"
"823";"Brotogeris sanctithomae";"Brotogeris sanctithomae"
"824";"Nannopsittaca panychlora";"Nannopsittaca panychlora"
"825";"Touit batavicus";"Touit batavicus"
"826";"Touit purpuratus";"Touit purpuratus"
"827";"Touit surdus";"Touit surdus"
"828";"Pionites melanocephalus";"Pionites melanocephalus"
"829";"Pyrilia pulchra";"Pyrilia pulchra"
"830";"Hapalopsittaca melanotis";"Hapalopsittaca melanotis"
"831";"Graydidascalus brachyurus";"Graydidascalus brachyurus"
"832";"Pionus sordidus";"Pionus sordidus"
"833";"Pionus maximiliani";"Pionus maximiliani"
"834";"Pionus senilis";"Pionus senilis"
"835";"Pionus chalcopterus";"Pionus chalcopterus"
"836";"Pionus fuscus";"Pionus fuscus"
"837";"Amazona pretrei";"Amazona pretrei"
"838";"Amazona mercenarius";"Amazona mercenarius"
"839";"Deroptyus accipitrinus";"Deroptyus accipitrinus"
"840";"Streptoprocne phelpsi";"Streptoprocne phelpsi"
"841";"Cypseloides lemosi";"Cypseloides lemosi"
"842";"Cypseloides rothschildi";"Cypseloides rothschildi"
"843";"Cypseloides cherriei";"Cypseloides cherriei"
"844";"Cypseloides senex";"Cypseloides senex"
"845";"Collocalia linchi";"Collocalia linchi"
"846";"Aerodramus unicolor";"Aerodramus unicolor"
"847";"Aerodramus mearnsi";"Aerodramus mearnsi"
"848";"Aerodramus hirundinaceus";"Aerodramus hirundinaceus"
"849";"Aerodramus spodiopygius";"Aerodramus spodiopygius"
"850";"Aerodramus terraereginae";"Aerodramus terraereginae"
"851";"Aerodramus papuensis";"Aerodramus papuensis"
"852";"Aerodramus orientalis";"Aerodramus orientalis"
"853";"Aerodramus pelewensis";"Aerodramus pelewensis"
"854";"Aerodramus inquietus";"Aerodramus inquietus"
"855";"Aerodramus maximus";"Aerodramus maximus"
"856";"Mearnsia novaeguineae";"Mearnsia novaeguineae"
"857";"Zoonavena sylvatica";"Zoonavena sylvatica"
"858";"Telacanthura melanopygia";"Telacanthura melanopygia"
"859";"Rhaphidura leucopygialis";"Rhaphidura leucopygialis"
"860";"Rhaphidura sabini";"Rhaphidura sabini"
"861";"Hirundapus cochinchinensis";"Hirundapus cochinchinensis"
"862";"Hirundapus giganteus";"Hirundapus giganteus"
"863";"Hirundapus celebensis";"Hirundapus celebensis"
"864";"Chaetura martinica";"Chaetura martinica"
"865";"Chaetura egregia";"Chaetura egregia"
"866";"Aeronautes saxatalis";"Aeronautes saxatalis"
"867";"Aeronautes montivagus";"Aeronautes montivagus"
"868";"Aeronautes andecolus";"Aeronautes andecolus"
"869";"Tachornis phoenicobia";"Tachornis phoenicobia"
"870";"Tachornis squamata";"Tachornis squamata"
"871";"Cypsiurus balasiensis";"Cypsiurus balasiensis"
"872";"Apus alexandri";"Apus alexandri"
"873";"Apus niansae";"Apus niansae"
"874";"Apus berliozi";"Apus berliozi"
"875";"Apus bradfieldi";"Apus bradfieldi"
"876";"Apus nipalensis";"Apus nipalensis"
"877";"Hemiprocne mystacea";"Hemiprocne mystacea"
"878";"Hemiprocne comata";"Hemiprocne comata"
"879";"Threnetes niger";"Threnetes niger"
"880";"Phaethornis yaruqui";"Phaethornis yaruqui"
"881";"Phaethornis syrmatophorus";"Phaethornis syrmatophorus"
"882";"Phaethornis koepckeae";"Phaethornis koepckeae"
"883";"Phaethornis philippii";"Phaethornis philippii"
"884";"Phaethornis pretrei";"Phaethornis pretrei"
"885";"Anopetia gounellei";"Anopetia gounellei"
"886";"Phaethornis ruber";"Phaethornis ruber"
"887";"Phaethornis stuarti";"Phaethornis stuarti"
"888";"Eutoxeres aquila";"Eutoxeres aquila"
"889";"Eutoxeres condamini";"Eutoxeres condamini"
"890";"Androdon aequatorialis";"Androdon aequatorialis"
"891";"Doryfera johannae";"Doryfera johannae"
"892";"Doryfera ludovicae";"Doryfera ludovicae"
"893";"Campylopterus hyperythrus";"Campylopterus hyperythrus"
"894";"Campylopterus duidae";"Campylopterus duidae"
"895";"Campylopterus falcatus";"Campylopterus falcatus"
"896";"Campylopterus villaviscensio";"Campylopterus villaviscensio"
"897";"Eupetomena macroura";"Eupetomena macroura"
"898";"Florisuga fusca";"Florisuga fusca"
"899";"Colibri coruscans";"Colibri coruscans"
"900";"Colibri serrirostris";"Colibri serrirostris"
"901";"Anthracothorax viridigula";"Anthracothorax viridigula"
"902";"Anthracothorax mango";"Anthracothorax mango"
"903";"Anthracothorax viridis";"Anthracothorax viridis"
"904";"Eulampis jugularis";"Eulampis jugularis"
