"";"parsed";"ebird_itis"
"1575";"Micrastur buckleyi";"Micrastur buckleyi"
"1576";"Spiziapteryx circumcincta";"Spiziapteryx circumcincta"
"1577";"Polihierax semitorquatus";"Polihierax semitorquatus"
"1578";"Microhierax caerulescens";"Microhierax caerulescens"
"1579";"Microhierax fringillarius";"Microhierax fringillarius"
"1580";"Microhierax erythrogenys";"Microhierax erythrogenys"
"1581";"Microhierax melanoleucos";"Microhierax melanoleucos"
"1582";"Falco berigora";"Falco berigora"
"1583";"Falco newtoni";"Falco newtoni"
"1584";"Falco punctatus";"Falco punctatus"
"1585";"Falco araeus";"Falco araeus"
"1586";"Falco moluccensis";"Falco moluccensis"
"1587";"Falco cenchroides";"Falco cenchroides"
"1588";"Falco sparverius";"Falco sparverius"
"1589";"Falco rupicoloides";"Falco rupicoloides"
"1590";"Falco ardosiaceus";"Falco ardosiaceus"
"1591";"Falco dickinsoni";"Falco dickinsoni"
"1592";"Falco zoniventris";"Falco zoniventris"
"1593";"Falco longipennis";"Falco longipennis"
"1594";"Falco subniger";"Falco subniger"
"1595";"Falco mexicanus";"Falco mexicanus"
"1596";"Falco deiroleucus";"Falco deiroleucus"
"1597";"Rollandia rolland";"Rollandia rolland"
"1598";"Tachybaptus novaehollandiae";"Tachybaptus novaehollandiae"
"1599";"Tachybaptus rufolavatus";"Tachybaptus rufolavatus"
"1600";"Podilymbus gigas";"Podilymbus gigas"
"1601";"Poliocephalus poliocephalus";"Poliocephalus poliocephalus"
"1602";"Podiceps major";"Podiceps major"
"1603";"Podiceps andinus";"Podiceps andinus"
"1604";"Aechmophorus clarkii";"Aechmophorus clarkii"
"1605";"Anhinga anhinga";"Anhinga anhinga"
"1606";"Anhinga melanogaster";"Anhinga melanogaster"
"1607";"Anhinga novaehollandiae";"Anhinga novaehollandiae"
"1608";"Microcarbo africanus";"Microcarbo africanus"
"1609";"Microcarbo niger";"Microcarbo niger"
"1610";"Urile perspicillatus";"Urile perspicillatus"
"1611";"Phalacrocorax varius";"Phalacrocorax varius"
"1612";"Phalacrocorax sulcirostris";"Phalacrocorax sulcirostris"
"1613";"Syrigma sibilatrix";"Syrigma sibilatrix"
"1614";"Egretta vinaceigula";"Egretta vinaceigula"
"1615";"Egretta ardesiaca";"Egretta ardesiaca"
"1616";"Egretta tricolor";"Egretta tricolor"
"1617";"Egretta novaehollandiae";"Egretta novaehollandiae"
"1618";"Egretta thula";"Egretta thula"
"1619";"Egretta eulophotes";"Egretta eulophotes"
"1620";"Ardea pacifica";"Ardea pacifica"
"1621";"Ardea melanocephala";"Ardea melanocephala"
"1622";"Ardea humbloti";"Ardea humbloti"
"1623";"Ardea goliath";"Ardea goliath"
"1624";"Ardeola grayii";"Ardeola grayii"
"1625";"Ardeola bacchus";"Ardeola bacchus"
"1626";"Ardeola speciosa";"Ardeola speciosa"
"1627";"Ardeola rufiventris";"Ardeola rufiventris"
"1628";"Agamia agami";"Agamia agami"
"1629";"Nycticorax caledonicus";"Nycticorax caledonicus"
