"";"ED";"ES"
"Melanitta perspicillata";0,00267391630260218;1,35949792197822e-14
"Melanitta fusca";0,00422251276000427;3,49345538459651e-05
"Bucephala clangula";0,00422251276000427;6,98691076919303e-05
"Bucephala islandica";0,00422251276000427;0,000139738215383861
"Bucephala albeola";0,00267391630260218;2,71899584395644e-14
"Mergellus albellus";0,00267391630260218;5,43799168791287e-14
"Lophodytes cucullatus";0,00422251276000427;0,000279476430767721
"Mergus octosetaceus";0,00267391630260218;1,08759833758257e-13
"Mergus serrator";0,00422251276000427;0,000558952861535442
"Mergus squamatus";0,00267391630260218;2,17519667516515e-13
"Mergus merganser";0,00422251276000427;0,00111790572307088
"Turnix sylvaticus";0,000121430967291621;0
"Turnix maculosus";0,000121430967291621;0
"Turnix hottentottus";0,000121430967291621;0
"Turnix tanki";0,000121430967291621;0
"Turnix ocellatus";0,000121430967291621;0
"Turnix suscitator";0,000121430967291621;0
"Turnix nigricollis";0,000121430967291621;0
"Turnix melanogaster";0,000121430967291621;0
"Turnix castanotus";0,000121430967291621;0
"Turnix olivii";0,000121430967291621;0
"Turnix varius";0,000121430967291621;0
"Turnix worcesteri";0,000121430967291621;0
"Turnix everetti";0,000121430967291621;0
"Turnix pyrrhothorax";0,000121430967291621;0
"Turnix velox";0,000121430967291621;0
"Ortyxelos meiffrenii";0,000121430967291621;0
"Indicator maculatus";0,00158087957410179;2,41142923452789e-15
"Indicator variegatus";0,00024174222372193;2,56155972973902e-163
"Indicator indicator";0,00024174222372193;2,56155972973902e-163
"Indicator archipelagicus";0,00024174222372193;5,12311945947804e-163
"Indicator minor";0,00024174222372193;1,02462389189561e-162
"Indicator conirostris";0,0095002292616175;0,00198888166252768
"Indicator willcocksi";0,000464207056694516;6,49664043845905e-58
"Indicator exilis";0,00024174222372193;2,04924778379122e-162
"Indicator pumilio";0,00024174222372193;4,09849556758243e-162
"Indicator meliphilus";0,00024174222372193;8,19699113516487e-162
"Indicator xanthonotus";0,00024174222372193;1,63939822703297e-161
"Melichneutes robustus";0,00024174222372193;3,27879645406595e-161
"Melignomon eisentrauti";0,000546070251357039;3,6867715767021e-43
"Melignomon zenkeri";0,00024174222372193;6,55759290813189e-161
"Prodotiscus insignis";0,000360872354195295;8,0463646442792e-68
"Prodotiscus zambesiae";0,00024174222372193;1,31151858162638e-160
"Prodotiscus regulus";0,00024174222372193;2,62303716325276e-160
"Jynx torquilla";0,000983425495183799;1,13220896072438e-24
"Jynx ruficollis";0,000562600389701682;1,99471451081444e-40
"Picumnus innominatus";0,00024174222372193;5,24607432650551e-160
"Picumnus aurifrons";0,000464207056694516;6,49664043845905e-58
