;Rb_median;AV_median;FV_median;NNmed
Crocidura_planiceps;0,013341836;0,676596775;0,676482311;0,044571909
Crocidura_sokolovi;0,013341838;0,676602142;0,676487677;0,049374088
Crocidura_trichura;0,013341935;0,676602142;0,676487677;0,046128723
Crocidura_neglecta;0,013339922;0,67662388;0,676509412;0,047238345
Crocidura_rapax;0,013339961;0,676602967;0,676488502;0,051248083
Crocidura_lasiura;0,013338245;0,676614515;0,676500048;0,036206551
Crocidura_dsinezumi;0,013338062;0,676613114;0,676498647;0,025635555
Crocidura_fischeri;0,013337804;0,676578461;0,676464;0,023435046
Crocidura_raineyi;0,013337794;0,676573577;0,676459117;0,02387074
Crocidura_phuquocensis;0,01333693;0,676572511;0,676458051;0,027248944
Crocidura_fuliginosa;0,013336311;0,676732668;0,676618181;0,022589165
Crocidura_indochinensis;0,013336287;0,676738318;0,67662383;0,024686528
Crocidura_wuchihensis;0,013336086;0,676744297;0,676629808;0,033974319
Crocidura_tanakae;0,01333613;0,67673545;0,676620962;0,033012611
Crocidura_zaitsevi;0,013335507;0,676746674;0,676632184;0,030011378
Crocidura_attenuata;0,01333516;0,6767408;0,676626311;0,076317719
Crocidura_monticola;0,013335258;0,676783625;0,676669129;0,076439357
Crocidura_watasei;0,013335258;0,676730295;0,676615808;0,02814978
Crocidura_jacksoni;0,013335794;0,676731606;0,676617119;0,013888415
Crocidura_armenica;0,013335727;0,676589681;0,676475219;0,013945013
Crocidura_paradoxura;0,013335747;0,676589347;0,676474884;0,017292977
Crocidura_lwiroensis;0,013335846;0,676591251;0,676476787;0,014251934
Crocidura_susiana;0,01334249;0,676592237;0,676477774;0,027346961
Crocidura_bottegoides;0,013342294;0,67657463;0,67646017;0,069271789
Crocidura_negligens;0,013333852;0,676405946;0,676291514;0,028604277
Crocidura_lucina;0,013319213;0,676397956;0,676283525;0,019199993
Crocidura_maquassiensis;0,013319158;0,676391736;0,676277307;0,024404517
Crocidura_ansellorum;0,013319196;0,676391736;0,676277307;0,081187971
Crocidura_malayana;0,013319226;0,676403563;0,676289132;0,071116669
Crocidura_yankariensis;0,013319166;0,676400738;0,676286307;0,05437501
Crocidura_abscondita;0,013313642;0,668581698;0,668468589;0,058736614
Crocidura_jenkinsi;0,013313639;0,668581698;0,668468589;0,024582332
Crocidura_virgata;0,013313639;0,668613678;0,668500565;0,016926722
Crocidura_nigricans;0,013313707;0,668610714;0,668497601;0,017891009
Crocidura_nigripes;0,013313171;0,668606038;0,668492926;0,077476281
Crocidura_ninoyi;0,013313157;0,668624767;0,668511652;0,066123902
Crocidura_beatus;0,01331295;0,668617146;0,668504032;0,04928812
Crocidura_panayensis;0,013313418;0,668617146;0,668504032;0,020206774
Crocidura_negrina;0,013313423;0,668646879;0,66853376;0,01993015
Crocidura_guy;0,013313613;0,668646879;0,66853376;0,025673088
Crocidura_mindorus;0,013313639;0,668840573;0,668727421;0,01391672
Crocidura_grayi;0,013313742;0,668815063;0,668701916;0,015539419
Crocidura_palawanensis;0,013313642;0,66881636;0,668703213;0,056572279
Crocidura_foetida;0,013313385;0,669229044;0,669115826;0,050573737
