"";"ED";"ES"
"Chen canagica";0,0217790215107736;0,0329714889552964
"Branta sandvicensis";0,100231553873527;0,126536282896951
"Branta canadensis";0,00753619535767406;0,0124559892058329
"Branta leucopsis";0,0122567316156848;0,00555795216147386
"Branta bernicla";0,00363100858033553;1,69615239302791e-07
"Branta ruficollis";0,00363100858033553;3,39230478605582e-07
"Cereopsis novaehollandiae";0,00832236227345913;0,000990960466710091
"Plectropterus gambensis";0,093405860083111;0,114520937914105
"Sarkidiornis melanotos";0,0110139796408394;0,00608664951976087
"Tadorna ferruginea";0,0745467884432442;0,0827942789994071
"Tadorna cana";0,0101511330960565;0,000316745414615462
"Tadorna tadornoides";0,0854271356255653;0,0874494520659313
"Tadorna variegata";0,0146234697440789;4,40500206541099e-05
"Tadorna tadorna";0,0113249215350869;0,00335569044009682
"Tadorna radjah";0,00272224148298624;3,26628751361461e-12
"Malacorhynchus membranaceus";0,00590435661813398;3,61888208242503e-05
"Alopochen aegyptiaca";0,00631873248340569;0,00735607310057566
"Neochen jubata";0,0178829860755529;0,0295354395384259
"Chloephaga melanoptera";0,00363100858033553;6,78460957211164e-07
"Chloephaga picta";0,00832236227345913;0,00198192093342018
"Chloephaga hybrida";0,0135073928658354;0,0082428722388241
"Chloephaga poliocephala";0,00832236227345913;0,00396384186684036
"Chloephaga rubidiceps";0,00832236227345913;0,00792768373368073
"Cyanochen cyanoptera";0,0324158525160691;0,0371953174100663
"Hymenolaimus malacorhynchos";0,00272224148298624;3,26628751361461e-12
"Merganetta armata";0,00119122378246088;1,16861193189473e-12
"Tachyeres pteneres";0,00119122378246088;1,16861193189473e-12
"Tachyeres leucocephalus";9,74678347938777e-05;0
"Tachyeres brachypterus";9,74678347938777e-05;0
"Tachyeres patachonicus";9,74678347938777e-05;0
"Pteronetta hartlaubii";0,00276690384819128;1,32125788100295e-08
"Cairina moschata";0,117264601349902;0,108237420067003
"Cairina scutulata";0,0449063007997434;0,0437247260329656
"Aix sponsa";0,0121992850896324;0,0013346169088995
"Aix galericulata";0,0799371453658974;0,0890025228094352
"Lophonetta specularioides";0,00142432414166072;7,59108943950293e-11
"Nettapus pulchellus";0,0100142863144692;0,00198192093342018
"Nettapus coromandelianus";0,00857944806860541;0,000146372684355233
"Nettapus auritus";0,190962583673791;0,206820687210701
"Callonetta leucophrys";0,0149188778903094;0,00229103873972064
"Chenonetta jubata";0,00363100858033553;1,35692191442233e-06
"Amazonetta brasiliensis";0,0966530252722306;0,104011659079177
"Salvadorina waigiuensis";0,00133549099387727;1,88200131147267e-11
"Speculanas specularis";0,0101511330960565;0,000633490829230924
"Anas capensis";0,102128066151145;0,120897962899215
"Anas strepera";0,0104955313106108;0,000585490737420932
"Anas falcata";0,00857944806860541;0,000292745368710466
"Anas penelope";0,00832236227345913;0,0158553674673615
"Anas americana";0,00363100858033553;2,71384382884466e-06
"Anas sibilatrix";0,00363100858033553;5,42768765768932e-06
"Anas sparsa";0,136608597800795;0,1582827725269
"Anas rubripes";0,0055736865117196;9,04396359718657e-08
"Anas platyrhynchos";0,0149267735775176;0,000806300176599108
"Anas poecilorhyncha";0,00857944806860541;0,000585490737420932
"Anas superciliosa";0,00857944806860541;0,00117098147484186
"Anas luzonica";0,0883341636640095;0,1052375825467
"Anas undulata";0,0235227779363601;0,0117465192156913
"Anas melleri";0,0101511330960565;0,00126698165846185
"Anas discors";0,00857944806860541;0,00234196294968373
"Anas cyanoptera";0,0101511330960565;0,00253396331692369
"Anas smithii";0,0713697557321749;0,0731557506381204
"Anas platalea";0,00784152132534001;0,000731313557677016
"Anas rhynchotis";0,00276690384819128;1,32125788100295e-08
"Anas clypeata";0,0142196419039988;0,00110795390287554
"Anas bernieri";0,0235227779363601;0,0234930384313827
"Anas gibberifrons";0,00652719555822408;3,13714838743136e-06
"Anas castanea";0,00652719555822408;6,27429677486273e-06
"Anas aucklandica";9,74678347938777e-05;0
"Anas bahamensis";0,0104955313106108;0,00117098147484186
"Anas erythrorhyncha";0,021883153085196;0,0452300648871702
"Anas flavirostris";0,0055736865117196;1,80879271943731e-07
"Anas acuta";0,0423120769849999;0,0513342310734008
"Anas georgica";0,0100142863144692;0,00396384186684036
"Anas querquedula";0,117264601349902;0,108237420067003
"Anas formosa";0,0100142863144692;0,00792768373368073
"Anas crecca";0,0235227779363601;0,0469860768627654
"Anas versicolor";0,00857944806860541;0,00468392589936745
"Anas hottentota";0,0235227779363601;0,0469860768627654
"Marmaronetta angustirostris";0,0227691741011936;0,0211094142689317
"Netta rufina";0,0104955313106108;0,00234196294968373
"Netta peposaca";0,00832236227345913;0,0317107349347229
"Netta erythrophthalma";0,00783190994559914;0,000297624975099706
"Aythya ferina";0,044968214081237;0,0512219829753268
"Aythya valisineria";0,0785273912333535;0,102443965950654
"Aythya americana";0,0100142863144692;0,0158553674673615
"Aythya collaris";0,0227691741011936;0,0422188285378635
"Aythya nyroca";0,044968214081237;0,0512219829753268
"Aythya innotata";0,00114795133505111;3,42006451503186e-41
"Aythya baeri";0,141287284309145;0,17332332200338
"Aythya australis";0,0100142863144692;0,0317107349347229
"Aythya fuligula";0,0709683721937007;0,0709090497840344
"Aythya novaeseelandiae";0,0146234697440789;4,40500206541099e-05
"Aythya marila";0,00276690384819128;2,64251576200589e-08
"Aythya affinis";0,0101511330960565;0,00506792663384739
"Somateria mollissima";0,0501748172649592;0,0525887254471309
"Somateria spectabilis";0,00276690384819128;5,28503152401178e-08
"Somateria fischeri";0,00123028465932353;3,14268846326641e-15
