"";"parsed";"mdd_itis"
"507";"Echymipera clara";"Echymipera clara"
"508";"Echymipera echinista";"Echymipera echinista"
"509";"Rhynchomeles prattorum";"Rhynchomeles prattorum"
"510";"Macrotis lagotis";"Macrotis lagotis"
"511";"Macrotis leucura";"Macrotis leucura"
"512";"Kerivoula argentata";"Kerivoula argentata"
"513";"Phoniscus atrox";"Phoniscus atrox"
"514";"Rhinolophus euryale";"Rhinolophus euryale"
"515";"Furipterus horrens";"Furipterus horrens"
"516";"Platyrrhinus recifinus";"Platyrrhinus recifinus"
"517";"Kerivoula cuprosa";"Kerivoula cuprosa"
"518";"Platyrrhinus infuscus";"Platyrrhinus infuscus"
"519";"Kerivoula eriophora";"Kerivoula eriophora"
"520";"Rhinolophus blasii";"Rhinolophus blasii"
"521";"Platyrrhinus vittatus";"Platyrrhinus vittatus"
"522";"Kerivoula flora";"Kerivoula flora"
"523";"Rhinolophus hipposideros";"Rhinolophus hipposideros"
"524";"Rhinolophus ferrumequinum";"Rhinolophus ferrumequinum"
"525";"Kerivoula hardwickii";"Kerivoula hardwickii"
"526";"Platyrrhinus umbratus";"Platyrrhinus umbratus"
"527";"Kerivoula intermedia";"Kerivoula intermedia"
"528";"Rhinolophus acuminatus";"Rhinolophus acuminatus"
"529";"Rhinolophus mehelyi";"Rhinolophus mehelyi"
"530";"Phoniscus jagorii";"Phoniscus jagorii"
"531";"Histiotus laephotis";"Histiotus laephotis"
"532";"Pteropus aruensis";"Pteropus aruensis"
"533";"Tomopeas ravus";"Tomopeas ravus"
"534";"Kerivoula africana";"Kerivoula africana"
"535";"Tonatia bidens";"Tonatia bidens"
"536";"Asellia tridens";"Asellia tridens"
"537";"Asellia patrizii";"Asellia patrizii"
"538";"Aselliscus tricuspidatus";"Aselliscus tricuspidatus"
"539";"Rhinolophus robinsoni";"Rhinolophus robinsoni"
"540";"Myotis nipalensis";"Myotis nipalensis"
"541";"Corynorhinus townsendii";"Corynorhinus townsendii"
"542";"Corynorhinus mexicanus";"Corynorhinus mexicanus"
"543";"Corynorhinus rafinesquii";"Corynorhinus rafinesquii"
"544";"Melonycteris melanops";"Melonycteris melanops"
"545";"Rhinolophus luctus";"Rhinolophus luctus"
"546";"Melonycteris woodfordi";"Nesonycteris woodfordi"
"547";"Rhinolophus lepidus";"Rhinolophus lepidus"
"548";"Aethalops aequalis";"Aethalops aequalis"
"549";"Rhinolophus landeri";"Rhinolophus landeri"
"550";"Rhinolophus inops";"Rhinolophus inops"
"551";"Plecotus taivanus";"Plecotus taivanus"
"552";"Rhinolophus marshalli";"Rhinolophus marshalli"
"553";"Rhinolophus malayanus";"Rhinolophus malayanus"
"554";"Rhinolophus macrotis";"Rhinolophus macrotis"
"555";"Rhinolophus maclaudi";"Rhinolophus maclaudi"
"556";"Desmodus rotundus";"Desmodus rotundus"
"557";"Rhinolophus eloquens";"Rhinolophus eloquens"
"558";"Rhinolophus denti";"Rhinolophus denti"
"559";"Rhinolophus deckenii";"Rhinolophus deckenii"
"560";"Styloctenium mindorensis";"Styloctenium mindorensis"
"561";"Pteropus ualanus";"Pteropus ualanus"
"562";"Rhinolophus hildebrandtii";"Rhinolophus hildebrandtii"
"563";"Rhinolophus guineensis";"Rhinolophus guineensis"
"564";"Rhinolophus fumigatus";"Rhinolophus fumigatus"
"565";"Pteropus keyensis";"Pteropus keyensis"
"566";"Rhinolophus clivosus";"Rhinolophus clivosus"
"567";"Rhinolophus coelophyllus";"Rhinolophus coelophyllus"
"568";"Rhinolophus capensis";"Rhinolophus capensis"
"569";"Rhinolophus celebensis";"Rhinolophus celebensis"
"570";"Plerotes anchietae";"Plerotes anchietae"
"571";"Eptesicus chiriquinus";"Eptesicus chiriquinus"
"572";"Rhinolophus creaghi";"Rhinolophus creaghi"
"573";"Rhinolophus darlingi";"Rhinolophus darlingi"
"574";"Rhinolophus cognatus";"Rhinolophus cognatus"
"575";"Rhinolophus alcyone";"Rhinolophus alcyone"
"576";"Rhinolophus adami";"Rhinolophus adami"
"577";"Rhinolophus affinis";"Rhinolophus affinis"
"578";"Rhinolophus borneensis";"Rhinolophus borneensis"
"579";"Diaemus youngi";"Diaemus youngii"
"580";"Rhinolophus canuti";"Rhinolophus canuti"
"581";"Rhinolophus arcuatus";"Rhinolophus arcuatus"
"582";"Rhinolophus bocharicus";"Rhinolophus bocharicus"
"583";"Nyctimene keasti";"Nyctimene keasti"
"584";"Harpiola isodon";"Harpiola isodon"
"585";"Eumops floridanus";"Eumops floridanus"
"586";"Chalinolobus picatus";"Chalinolobus picatus"
"587";"Chalinolobus nigrogriseus";"Chalinolobus nigrogriseus"
"588";"Kerivoula lenis";"Kerivoula lenis"
"589";"Myotis laniger";"Myotis laniger"
"590";"Chalinolobus neocaledonicus";"Chalinolobus neocaledonicus"
"591";"Saccopteryx antioquensis";"Saccopteryx antioquensis"
"592";"Chalinolobus tuberculatus";"Chalinolobus tuberculatus"
"593";"Micronycteris microtis";"Micronycteris microtis"
"594";"Cynopterus minutus";"Cynopterus minutus"
"595";"Thyroptera lavali";"Thyroptera lavali"
"596";"Thyroptera discifera";"Thyroptera discifera"
"597";"Hipposideros rotalis";"Hipposideros rotalis"
"598";"Hipposideros grandis";"Hipposideros grandis"
"599";"Myzopoda schliemanni";"Myzopoda schliemanni"
"600";"Chalinolobus dwyeri";"Chalinolobus dwyeri"
"601";"Diclidurus isabella";"Diclidurus isabella"
"602";"Diclidurus scutatus";"Diclidurus scutatus"
"603";"Diclidurus albus";"Diclidurus albus"
"604";"Diclidurus ingens";"Diclidurus ingens"
"605";"Platyrrhinus brachycephalus";"Platyrrhinus brachycephalus"
"606";"Platyrrhinus lineatus";"Platyrrhinus lineatus"
"607";"Rhinolophus shortridgei";"Rhinolophus shortridgei"
"608";"Lasiurus minor";"Lasiurus minor"
"609";"Mesophylla macconnelli";"Mesophylla macconnelli"
"610";"Pteronotus paraguanensis";"Pteronotus paraguanensis"
"611";"Cynomops mexicanus";"Cynomops mexicanus"
"612";"Acerodon leucotis";"Acerodon leucotis"
"613";"Acerodon jubatus";"Acerodon jubatus"
"614";"Acerodon celebensis";"Acerodon celebensis"
"615";"Platalina genovensium";"Platalina genovensium"
"616";"Leptonycteris yerbabuenae";"Leptonycteris yerbabuenae"
"617";"Acerodon mackloti";"Acerodon macklotii"
"618";"Vampyressa thyone";"Vampyressa thyone"
"619";"Thoopterus nigrescens";"Thoopterus nigrescens"
"620";"Rhogeessa genowaysi";"Rhogeessa genowaysi"
"621";"Pipistrellus raceyi";"Pipistrellus raceyi"
"622";"Rhinolophus formosae";"Rhinolophus formosae"
"623";"Idionycteris phyllotis";"Idionycteris phyllotis"
"624";"Rhinolophus siamensis";"Rhinolophus siamensis"
"625";"Pipistrellus pygmaeus";"Pipistrellus pygmaeus"
"626";"Myotis occultus";"Myotis occultus"
"627";"Rhinolophus thomasi";"Rhinolophus thomasi"
"628";"Rhinolophus trifoliatus";"Rhinolophus trifoliatus"
"629";"Mimon cozumelae";"Mimon cozumelae"
"630";"Rhinolophus virgo";"Rhinolophus virgo"
"631";"Otomops madagascariensis";"Otomops madagascariensis"
"632";"Rhinolophus yunanensis";"Rhinolophus yunanensis"
"633";"Hipposideros boeadii";"Hipposideros boeadii"
"634";"Rhinolophus stheno";"Rhinolophus stheno"
"635";"Rhinolophus subbadius";"Rhinolophus subbadius"
"636";"Rhinolophus subrufus";"Rhinolophus subrufus"
"637";"Rhinolophus swinnyi";"Rhinolophus swinnyi"
"638";"Ariteus flavescens";"Ariteus flavescens"
"639";"Kerivoula krauensis";"Kerivoula krauensis"
"640";"Dobsonia crenulata";"Dobsonia crenulata"
"641";"Rhinolophus keyensis";"Rhinolophus keyensis"
"642";"Rhinolophus osgoodi";"Rhinolophus osgoodi"
"643";"Rhinolophus philippinensis";"Rhinolophus philippinensis"
"644";"Natalus major";"Natalus major"
"645";"Rhinolophus pearsonii";"Rhinolophus pearsonii"
"646";"Rhinolophus mitratus";"Rhinolophus mitratus"
"647";"Ia io";"Ia io"
"648";"Rhinolophus nereis";"Rhinolophus nereis"
"649";"Rhinolophus shameli";"Rhinolophus shameli"
"650";"Myotis aurascens";"Myotis"
"651";"Rhinolophus sedulus";"Rhinolophus sedulus"
"652";"Rhinolophus simulator";"Rhinolophus simulator"
"653";"Rhinolophus silvestris";"Rhinolophus silvestris"
"654";"Rhinolophus rex";"Rhinolophus rex"
"655";"Ardops nichollsi";"Ardops nichollsi"
"656";"Rhinolophus pusillus";"Rhinolophus pusillus"
"657";"Murina harrisoni";"Murina harrisoni"
"658";"Rhinolophus rufus";"Rhinolophus rufus"
"659";"Hypsugo alaschanicus";"Hypsugo alaschanicus"
"660";"Rhinolophus rouxii";"Rhinolophus rouxii"
"661";"Artibeus lituratus";"Artibeus lituratus"
"662";"Artibeus jamaicensis";"Artibeus jamaicensis"
"663";"Thyroptera devivoi";"Thyroptera devivoi"
"664";"Rousettus linduensis";"Rousettus linduensis"
"665";"Hipposideros pelingensis";"Hipposideros pelingensis"
"666";"Artibeus inopinatus";"Artibeus inopinatus"
"667";"Artibeus hirsutus";"Artibeus hirsutus"
"668";"Plecotus ognevi";"Plecotus ognevi"
"669";"Enchisthenes hartii";"Enchisthenes hartii"
"670";"Rhinopoma macinnesi";"Rhinopoma macinnesi"
"671";"Rhinopoma muscatellum";"Rhinopoma muscatellum"
"672";"Artibeus planirostris";"Artibeus planirostris"
"673";"Dermanura phaeotis";"Dermanura phaeotis"
"674";"Artibeus obscurus";"Artibeus obscurus"
"675";"Rhinophylla fischerae";"Rhinophylla fischerae"
"676";"Rhinophylla alethina";"Rhinophylla alethina"
"677";"Platyrrhinus masu";"Platyrrhinus masu"
"678";"Pteralopex flanneryi";"Pteralopex flanneryi"
"679";"Artibeus fraterculus";"Artibeus fraterculus"
"680";"Rhinopoma microphyllum";"Rhinopoma microphyllum"
"681";"Rhinopoma hardwickii";"Rhinopoma hardwickii"
"682";"Artibeus concolor";"Artibeus concolor"
"683";"Artibeus fimbriatus";"Artibeus fimbriatus"
"684";"Hipposideros scutinares";"Hipposideros scutinares"
"685";"Sturnira mistratensis";"Sturnira mistratensis"
"686";"Artibeus amplus";"Artibeus amplus"
"687";"Rhinophylla pumilio";"Rhinophylla pumilio"
"688";"Kerivoula kachinensis";"Kerivoula kachinensis"
"689";"Anoura fistulata";"Anoura fistulata"
"690";"Rousettus leschenaultii";"Rousettus leschenaultii"
"691";"Rousettus amplexicaudatus";"Rousettus amplexicaudatus"
"692";"Miniopterus paululus";"Miniopterus paululus"
"693";"Rousettus lanosus";"Rousettus lanosus"
"694";"Platyrrhinus ismaeli";"Platyrrhinus ismaeli"
"695";"Plecotus macrobullaris";"Plecotus macrobullaris"
"696";"Centronycteris maximiliani";"Centronycteris maximiliani"
"697";"Rousettus spinalatus";"Rousettus spinalatus"
"698";"Boneia bidens";"Boneia bidens"
"699";"Rousettus madagascariensis";"Rousettus madagascariensis"
"700";"Myotis davidii";"Myotis davidii"
"701";"Erophylla bombifrons";"Erophylla bombifrons"
"702";"Nyctophilus walkeri";"Nyctophilus walkeri"
"703";"Nyctophilus sherrini";"Nyctophilus sherrini"
"704";"Carollia sowelli";"Carollia sowelli"
"705";"Eptesicus gobiensis";"Eptesicus gobiensis"
"706";"Saccolaimus peli";"Saccolaimus peli"
"707";"Saccopteryx bilineata";"Saccopteryx bilineata"
"708";"Tonatia saurophila";"Tonatia saurophila"
"709";"Rhinolophus sinicus";"Rhinolophus sinicus"
"710";"Saccopteryx gymnura";"Saccopteryx gymnura"
"711";"Saccopteryx canescens";"Saccopteryx canescens"
"712";"Arielulus circumdatus";"Arielulus circumdatus"
"713";"Saccopteryx leptura";"Saccopteryx leptura"
"714";"Nycticeinops schlieffeni";"Nycticeinops schlieffenii"
"715";"Myotis annamiticus";"Myotis annamiticus"
"716";"Cormura brevirostris";"Cormura brevirostris"
"717";"Nyctimene vizcaccia";"Nyctimene vizcaccia"
"718";"Rhogeessa tumida";"Rhogeessa tumida"
"719";"Nyctimene robinsoni";"Nyctimene robinsoni"
"720";"Nyctimene major";"Nyctimene major"
"721";"Nyctimene certans";"Nyctimene certans"
"722";"Rhogeessa mira";"Rhogeessa mira"
"723";"Nyctimene cephalotes";"Nyctimene cephalotes"
"724";"Rhogeessa parvula";"Rhogeessa parvula"
"725";"Laephotis wintoni";"Laephotis wintoni"
"726";"Rhogeessa minutilla";"Rhogeessa minutilla"
"727";"Laephotis namibensis";"Laephotis namibensis"
"728";"Nyctimene masalai";"Nyctimene masalai"
"729";"Nyctimene malaitensis";"Nyctimene malaitensis"
"730";"Nyctimene cyclotis";"Nyctimene cyclotis"
"731";"Hipposideros orbiculus";"Hipposideros orbiculus"
"732";"Nyctimene draconilla";"Nyctimene draconilla"
"733";"Nyctimene rabori";"Nyctimene rabori"
"734";"Nyctimene aello";"Nyctimene aello"
"735";"Scotorepens sanborni";"Scotorepens sanborni"
"736";"Scoteanax rueppellii";"Scoteanax rueppellii"
"737";"Nyctophilus howensis";"Nyctophilus howensis"
"738";"Austronomus kuboriensis";"Austronomus kuboriensis"
"739";"Nyctophilus heran";"Nyctophilus heran"
"740";"Centurio senex";"Centurio senex"
"741";"Myotis dinellii";"Myotis dinellii"
"742";"Nyctophilus microdon";"Nyctophilus microdon"
"743";"Platyrrhinus albericoi";"Platyrrhinus albericoi"
"744";"Micronycteris matses";"Micronycteris matses"
"745";"Nyctophilus arnhemensis";"Nyctophilus arnhemensis"
"746";"Nyctinomops femorosaccus";"Nyctinomops femorosaccus"
"747";"Nyctinomops aurispinosus";"Nyctinomops aurispinosus"
"748";"Rhynchonycteris naso";"Rhynchonycteris naso"
"749";"Nyctinomops laticaudatus";"Nyctinomops laticaudatus"
"750";"Lasiurus pfeifferi";"Lasiurus pfeifferi"
"751";"Myotis bucharensis";"Myotis bucharensis"
"752";"Laephotis angolensis";"Laephotis angolensis"
"753";"Laephotis botswanae";"Laephotis botswanae"
"754";"Rhogeessa hussoni";"Rhogeessa hussoni"
"755";"Pipistrellus hanaki";"Pipistrellus hanaki"
"756";"Dyacopterus brooksi";"Dyacopterus brooksi"
"757";"Natalus mexicanus";"Natalus mexicanus"
"758";"Dobsonia anderseni";"Dobsonia anderseni"
"759";"Pteropus capistratus";"Pteropus capistratus"
"760";"Platyrrhinus matapalensis";"Platyrrhinus matapalensis"
"761";"Nycteris grandis";"Nycteris grandis"
"762";"Nycteris hispida";"Nycteris hispida"
"763";"Nycteris intermedia";"Nycteris intermedia"
"764";"Nycteris javanica";"Nycteris javanica"
"765";"Nycteris macrotis";"Nycteris macrotis"
"766";"Nycteris major";"Nycteris major"
"767";"Nycticeius cubanus";"Nycticeius cubanus"
"768";"Nycteris nana";"Nycteris nana"
"769";"Nycteris thebaica";"Nycteris thebaica"
"770";"Pteropus cognatus";"Pteropus cognatus"
"771";"Nycteris tragata";"Nycteris tragata"
"772";"Nycteris woodi";"Nycteris woodi"
"773";"Chaerephon jobimena";"Chaerephon jobimena"
"774";"Nycticeius humeralis";"Nycticeius humeralis"
"775";"Nyctalus lasiopterus";"Nyctalus lasiopterus"
"776";"Miniopterus sororculus";"Miniopterus sororculus"
"777";"Nyctalus noctula";"Nyctalus noctula"
"778";"Nyctalus leisleri";"Nyctalus leisleri"
"779";"Nyctalus aviator";"Nyctalus aviator"
"780";"Nyctalus montanus";"Nyctalus montanus"
"781";"Rhinolophus madurensis";"Rhinolophus madurensis"
"782";"Nycteris arge";"Nycteris arge"
"783";"Murina hilgendorfi";"Murina hilgendorfi"
"784";"Nycteris gambiensis";"Nycteris gambiensis"
"785";"Myotis rufopictus";"Myotis rufopictus"
"786";"Nycteris aurita";"Nycteris aurita"
"787";"Histiotus magellanicus";"Histiotus magellanicus"
"788";"Chaerephon solomonis";"Chaerephon solomonis"
"789";"Chaerephon russatus";"Chaerephon russatus"
"790";"Mops pusillus";"Mops pusillus"
"791";"Lasiurus degelidus";"Lasiurus degelidus"
"792";"Chaerephon nigeriae";"Chaerephon nigeriae"
"793";"Miniopterus newtoni";"Miniopterus newtoni"
"794";"Chaerephon chapini";"Chaerephon chapini"
"795";"Noctilio leporinus";"Noctilio leporinus"
"796";"Rhogeessa io";"Rhogeessa io"
"797";"Noctilio albiventris";"Noctilio albiventris"
"798";"Kerivoula papillosa";"Kerivoula papillosa"
"799";"Xeronycteris vieirai";"Xeronycteris vieirai"
"800";"Phoniscus papuensis";"Phoniscus papuensis"
"801";"Kerivoula pellucida";"Kerivoula pellucida"
"802";"Kerivoula phalaena";"Kerivoula phalaena"
"803";"Kerivoula lanosa";"Kerivoula lanosa"
"804";"Lyroderma lyra";"Lyroderma lyra"
"805";"Kerivoula minuta";"Kerivoula minuta"
"806";"Megaderma spasma";"Megaderma spasma"
"807";"Kerivoula myrella";"Kerivoula myrella"
"808";"Cyttarops alecto";"Cyttarops alecto"
"809";"Kerivoula picta";"Kerivoula picta"
"810";"Kerivoula smithii";"Kerivoula smithii"
"811";"Kerivoula whiteheadi";"Kerivoula whiteheadi"
"812";"Lonchophylla chocoana";"Lonchophylla chocoana"
"813";"Centronycteris centralis";"Centronycteris centralis"
"814";"Megaerops ecaudatus";"Megaerops ecaudatus"
"815";"Megaerops kusnotoi";"Megaerops kusnotoi"
"816";"Epomophorus anselli";"Epomophorus anselli"
"817";"Megaerops niphanae";"Megaerops niphanae"
"818";"Scotomanes ornatus";"Scotomanes ornatus"
"819";"Scotoecus pallidus";"Scotoecus pallidus"
"820";"Scotoecus hirundo";"Scotoecus hirundo"
"821";"Scotoecus albofuscus";"Scotoecus albofuscus"
"822";"Eumops underwoodi";"Eumops underwoodi"
"823";"Macrophyllum macrophyllum";"Macrophyllum macrophyllum"
"824";"Eumops maurus";"Eumops maurus"
"825";"Eumops hansae";"Eumops hansae"
"826";"Eumops glaucinus";"Eumops glaucinus"
"827";"Eumops dabbenei";"Eumops dabbenei"
"828";"Eumops bonariensis";"Eumops bonariensis"
"829";"Ectophylla alba";"Ectophylla alba"
"830";"Scleronycteris ega";"Scleronycteris ega"
"831";"Macroglossus minimus";"Macroglossus minimus"
"832";"Macroglossus sobrinus";"Macroglossus sobrinus"
"833";"Eidolon dupreanum";"Eidolon dupreanum"
"834";"Eidolon helvum";"Eidolon helvum"
"835";"Eudiscopus denticulus";"Eudiscopus denticulus"
"836";"Euderma maculatum";"Euderma maculatum"
"837";"Aethalops alecto";"Aethalops alecto"
"838";"Cloeotis percivali";"Cloeotis percivali"
"839";"Barbastella leucomelas";"Barbastella leucomelas"
"840";"Barbastella barbastellus";"Barbastella barbastellus"
"841";"Balantiopteryx plicata";"Balantiopteryx plicata"
"842";"Dyacopterus spadiceus";"Dyacopterus spadiceus"
"843";"Balantiopteryx io";"Balantiopteryx io"
"844";"Balionycteris maculata";"Balionycteris maculata"
"845";"Coelops frithii";"Coelops frithii"
"846";"Scotophilus dinganii";"Scotophilus dinganii"
"847";"Scotophilus kuhlii";"Scotophilus kuhlii"
"848";"Scotophilus heathii";"Scotophilus heathii"
"849";"Macrotus californicus";"Macrotus californicus"
"850";"Scotophilus nigrita";"Scotophilus nigrita"
"851";"Macrotus waterhousii";"Macrotus waterhousii"
"852";"Scotophilus leucogaster";"Scotophilus leucogaster"
"853";"Scotophilus robustus";"Scotophilus robustus"
"854";"Scotophilus nux";"Scotophilus nux"
"855";"Scotophilus viridis";"Scotophilus viridis"
"856";"Sturnira sorianoi";"Sturnira sorianoi"
"857";"Natalus primus";"Natalus primus"
"858";"Carollia manu";"Carollia manu"
"859";"Dobsonia inermis";"Dobsonia inermis"
"860";"Dobsonia praedatrix";"Dobsonia praedatrix"
"861";"Dobsonia viridis";"Dobsonia viridis"
"862";"Myotis melanorhinus";"Myotis"
"863";"Dobsonia moluccensis";"Dobsonia moluccensis"
"864";"Myotis moluccarum";"Myotis moluccarum"
"865";"Dobsonia emersa";"Dobsonia emersa"
"866";"Dobsonia chapmani";"Dobsonia chapmani"
"867";"Dobsonia pannietensis";"Dobsonia pannietensis"
"868";"Dobsonia exoleta";"Dobsonia exoleta"
"869";"Scotophilus marovaza";"Scotophilus marovaza"
"870";"Dobsonia minor";"Dobsonia minor"
"871";"Harpyionycteris celebensis";"Harpyionycteris celebensis"
"872";"Dobsonia beauforti";"Dobsonia beauforti"
"873";"Dobsonia peronii";"Dobsonia peronii"
"874";"Cheiromeles parvidens";"Cheiromeles parvidens"
"875";"Cynopterus luzoniensis";"Cynopterus luzoniensis"
"876";"Miniopterus petersoni";"Miniopterus petersoni"
"877";"Cheiromeles torquatus";"Cheiromeles torquatus"
"878";"Peropteryx trinitatis";"Peropteryx trinitatis"
"879";"Miniopterus griveaudi";"Miniopterus griveaudi"
"880";"Hipposideros inornatus";"Hipposideros inornatus"
"881";"Pipistrellus hesperidus";"Pipistrellus hesperidus"
"882";"Promops nasutus";"Promops nasutus"
"883";"Promops centralis";"Promops centralis"
"884";"Eonycteris robusta";"Eonycteris robusta"
"885";"Tadarida insignis";"Tadarida insignis"
"886";"Hylonycteris underwoodi";"Hylonycteris underwoodi"
"887";"Lonchophylla concava";"Lonchophylla concava"
"888";"Lonchophylla orcesi";"Lonchophylla orcesi"
"889";"Chiroderma doriae";"Chiroderma doriae"
"890";"Chiroderma improvisum";"Chiroderma improvisum"
"891";"Chiroderma salvini";"Chiroderma salvini"
"892";"Alionycteris paucidentata";"Alionycteris paucidentata"
"893";"Chiroderma trinitatum";"Chiroderma trinitatum"
"894";"Chiroderma villosum";"Chiroderma villosum"
"895";"Chironax melanocephalus";"Chironax melanocephalus"
"896";"Pteropus rennelli";"Pteropus rennelli"
"897";"Lonchophylla dekeyseri";"Lonchophylla dekeyseri"
"898";"Lonchophylla bokermanni";"Lonchophylla bokermanni"
"899";"Lonchophylla robusta";"Lonchophylla robusta"
"900";"Lonchophylla mordax";"Lonchophylla mordax"
"901";"Myotis dieteri";"Myotis dieteri"
"902";"Lonchophylla hesperia";"Lonchophylla hesperia"
